https://www.youtube.com/watch?v=MCfOwYGIZJM,Mystery Sol,Fleet,Riveriver,Zetterburn,Reign 12,Pools,2024-05-19 05:45:00+00:00
https://www.youtube.com/watch?v=TUcdUa6f8T4,EGG | Jed,Ranno,Albert,Wrastor,Reign 12,Pools,2024-05-19 06:00:12+00:00
https://www.youtube.com/watch?v=cU7Kob_GbXU,Albert,Wrastor,NNG | Evil Narduar,Loxodont,Reign 12,Pools,2024-05-19 06:30:19+00:00
https://www.youtube.com/watch?v=eKosPCOcC2Y,NNG | Evil Narduar,Loxodont,Riveriver,Zetterburn,Reign 12,Pools,2024-05-19 06:45:01+00:00
https://www.youtube.com/watch?v=aw-RWVBsvlE,GKO,Loxodont,Marshall,Kragg,Reign 12,Pools,2024-05-19 07:15:01+00:00
https://www.youtube.com/watch?v=RD3iOOD_bzk,Catosat,Zetterburn,Baguette Boy,Wrastor,Reign 12,Pools,2024-05-19 07:30:10+00:00
https://www.youtube.com/watch?v=ilhp6RSomNU,Kyb,Fleet,Catosat,Zetterburn,Reign 12,Pools,2024-05-19 08:00:32+00:00
https://www.youtube.com/watch?v=S68XdKatltQ,Soggurt,Kragg,Pikmon,Clairen,Reign 12,Pools,2024-05-19 08:15:02+00:00
https://www.youtube.com/watch?v=To-ZUsWkY9E,Pikmon,Clairen,Kyb,Fleet,Reign 12,Winners Semifinals,2024-05-19 09:00:31+00:00
https://www.youtube.com/watch?v=lZC4GQ3ROLw,Albert,Wrastor,Mystery Sol,Fleet,Reign 12,Winners Semifinals,2024-05-19 09:15:01+00:00
https://www.youtube.com/watch?v=Hk-TaVecZk4,Haze,Clairen,Soggurt,Kragg,Reign 12,Losers Eighths,2024-05-19 09:30:04+00:00
https://www.youtube.com/watch?v=Tx1FY0TTFSw,Pikmon,Clairen,Mystery Sol,Fleet,Reign 12,Winners Finals,2024-05-19 09:45:01+00:00
https://www.youtube.com/watch?v=ajHleQ58Pqk,Kyb,Fleet,Albert,Wrastor,Reign 12,Losers Semifinals,2024-05-19 10:00:02+00:00
https://www.youtube.com/watch?v=Y8eoCKtQAA8,Kyb,Fleet,Pikmon,Clairen,Reign 12,Losers Finals,2024-05-19 10:15:02+00:00
